"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2018-05-02",906,2.99
"Manzana a granel",24512,"2018-05-04",772,2.99
"Manzana a granel",24512,"2020-01-11",928,2.99
"Manzana a granel",24512,"2017-09-13",715,2.99
"Manzana a granel",24512,"2020-03-07",894,2.99
"Manzana a granel",24512,"2019-10-29",822,2.99
"Manzana a granel",24512,"2018-06-11",724,2.99
"Manzana a granel",24512,"2017-09-21",772,2.99
"Manzana a granel",24512,"2020-01-14",785,2.99
"Manzana a granel",24512,"2019-07-18",514,2.99
"Manzana a granel",24512,"2019-01-12",723,2.99
"Manzana a granel",24512,"2020-02-27",731,2.99
"Manzana a granel",24512,"2020-03-28",1034,2.99
"Manzana a granel",24512,"2018-01-15",785,2.99
"Manzana a granel",24512,"2019-06-20",511,2.99
"Manzana a granel",24512,"2017-11-07",748,2.99
"Manzana a granel",24512,"2019-05-20",596,2.99
"Manzana a granel",24512,"2019-10-24",736,2.99
"Manzana a granel",24512,"2018-07-05",576.857,2.99
"Manzana a granel",24512,"2020-04-15",682,2.99
"Manzana a granel",24512,"2020-07-20",419,2.99
"Manzana a granel",24512,"2019-06-17",570,2.99
"Manzana a granel",24512,"2018-08-21",616,2.99
"Manzana a granel",24512,"2019-05-30",504,2.99
"Manzana a granel",24512,"2018-01-19",692,2.99
"Manzana a granel",24512,"2018-03-28",1250,2.99
"Manzana a granel",24512,"2018-09-25",689,2.99
"Manzana a granel",24512,"2019-05-17",509,2.99
"Manzana a granel",24512,"2019-06-21",506,2.99
"Manzana a granel",24512,"2019-03-28",553,2.99
"Manzana a granel",24512,"2019-04-26",478,2.99
"Manzana a granel",24512,"2019-10-19",907,2.99
"Manzana a granel",24512,"2019-06-14",562.7,2.99
"Manzana a granel",24512,"2019-02-19",544,2.99
"Manzana a granel",24512,"2018-10-02",685,2.99
"Manzana a granel",24512,"2018-11-19",726,2.99
"Manzana a granel",24512,"2018-01-25",876,2.99
