"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2020-04-25",934,2.99
"Manzana a granel",24512,"2017-10-31",1024,2.99
"Manzana a granel",24512,"2020-02-21",694,2.99
"Manzana a granel",24512,"2018-08-14",929,2.99
"Manzana a granel",24512,"2019-05-13",545,2.99
"Manzana a granel",14526,"2019-11-15",709,2.99
"Manzana a granel",24512,"2018-05-22",802,2.99
"Manzana a granel",24512,"2020-07-04",517,2.99
"Manzana a granel",24512,"2019-12-28",887,2.99
"Manzana a granel",14526,"2018-02-22",635.08,2.99
"Manzana a granel",14526,"2019-01-31",633,2.99
"Manzana a granel",14526,"2019-03-04",796,2.99
"Manzana a granel",24512,"2018-12-10",806,2.99
"Manzana a granel",14526,"2017-12-15",688,2.99
"Manzana a granel",24512,"2019-03-12",522,2.99
"Manzana a granel",14526,"2020-09-12",602,2.99
"Manzana a granel",14526,"2017-07-31",823.14,2.99
"Manzana a granel",24512,"2019-08-09",406,2.99
"Manzana a granel",14526,"2017-09-09",832,2.99
"Manzana a granel",14526,"2018-08-02",688.804,2.99
"Manzana a granel",24512,"2018-06-12",681,2.99
"Manzana a granel",24512,"2019-09-14",958,2.99
"Manzana a granel",14526,"2019-09-24",692,2.99
"Manzana a granel",14526,"2019-09-12",737.113,2.99
"Manzana a granel",14526,"2019-03-15",754,2.99
"Manzana a granel",24512,"2020-06-03",399,2.99
"Manzana a granel",14526,"2017-08-12",729,2.99
"Manzana a granel",24512,"2017-08-25",909.786,2.99
"Manzana a granel",24512,"2018-03-01",699,2.99
"Manzana a granel",14526,"2018-08-28",729.98,2.99
"Manzana a granel",14526,"2020-08-21",641,2.99
"Manzana a granel",24512,"2018-11-15",588,2.99
"Manzana a granel",24512,"2018-07-11",679,2.99
"Manzana a granel",14526,"2017-08-19",636.25,2.99
"Manzana a granel",24512,"2019-08-02",448,2.99
"Manzana a granel",14526,"2020-09-18",409,2.99
"Manzana a granel",14526,"2017-10-14",801,2.99
"Manzana a granel",14526,"2019-06-19",674,2.99
"Manzana a granel",14526,"2020-08-24",668,2.99
"Manzana a granel",14526,"2019-12-30",806,2.99
"Manzana a granel",14526,"2018-10-01",864,2.99
"Manzana a granel",14526,"2018-02-28",715,2.99
"Manzana a granel",14526,"2018-01-05",786,2.99
"Manzana a granel",14526,"2018-05-26",655,2.99
"Manzana a granel",14526,"2020-05-20",460,2.99
"Manzana a granel",24512,"2019-01-23",581,2.99
"Manzana a granel",14526,"2019-01-28",875,2.99
"Manzana a granel",14526,"2020-06-12",607,2.99
"Manzana a granel",24512,"2018-07-09",651,2.99
"Manzana a granel",14526,"2017-08-24",729.97,2.99
"Manzana a granel",24512,"2019-05-02",529,2.99
"Manzana a granel",14526,"2020-06-10",567,2.99
"Manzana a granel",24512,"2018-05-31",637,2.99
"Manzana a granel",14526,"2020-09-09",575,2.99
"Manzana a granel",14526,"2019-11-14",634,2.99
"Manzana a granel",24512,"2020-04-17",750,2.99
"Manzana a granel",14526,"2019-09-17",755,2.99
"Manzana a granel",14526,"2020-03-07",654,2.99
"Manzana a granel",14526,"2018-06-22",715,2.99
"Manzana a granel",14526,"2017-12-13",684,2.99
"Manzana a granel",24512,"2018-02-07",712,2.99
"Manzana a granel",24512,"2019-09-02",859,2.99
"Manzana a granel",14526,"2017-11-25",690,2.99
"Manzana a granel",14526,"2020-02-04",675,2.99
"Manzana a granel",24512,"2017-10-10",704.94,2.99
"Manzana a granel",24512,"2020-02-03",931,2.99
"Manzana a granel",14526,"2017-09-15",828,2.99
"Manzana a granel",24512,"2020-07-03",323,2.99
"Manzana a granel",14526,"2020-07-16",486,2.99
"Manzana a granel",14526,"2018-04-27",772.798,2.99
"Manzana a granel",24512,"2019-04-05",497,2.99
"Manzana a granel",14526,"2018-11-17",631,2.99
"Manzana a granel",14526,"2018-04-14",747,2.99
"Manzana a granel",24512,"2018-11-27",662,2.99
"Manzana a granel",24512,"2018-11-20",595,2.99
"Manzana a granel",24512,"2019-11-19",777,2.99
"Manzana a granel",14526,"2020-05-25",599,2.99
